Список государственных ведомств,,,,,
Ведомство,Департамент,Должность,Имя,Начало работы,Конец работы
,"Департамент конкуренции, энергоэффективности и экологии",и.о. директора департамента,"Краевой
 Александр Сергеевич",28 июля 2025 г.,
,"Департамент конкуренции, энергоэффективности и экологии",Директор департамента,Бобылев Петр Михайлович,октябрь 2020 г.,2021 г.
,"Департамент конкуренции, энергоэффективности и экологии",и.о. директора департамента,Петрунина Ирина Анатольевна,октябрь 2022 г.,декабрь 2022 г.
,"Департамент конкуренции, энергоэффективности и экологии",Директор департамента,Петрунина Ирина Анатольевна,28 декабря 2022 г.,2025 г.
,Департамент государственного регулирования тарифов и инфраструктурных реформ,Директор департамента,Шведов Дмитрий Аркадьевич,27 марта 2025 г.,
,Департамент государственного регулирования тарифов и инфраструктурных реформ,Директор департамента,"Вахруков
 Дмитрий Сергеевич",февраль 2018 г.,май 2022 г.
,Департамент государственного регулирования тарифов и инфраструктурных реформ,Директор департамента,Мандрон Ярослав Владимирович,январь 2014 г.,ноябрь 2017 г.
,Департамент реализации проектов в сфере туристской деятельности,Директор департамента,"Груша
 Георгий Романович",4 октября 2024 г.,
,Департамент реализации проектов в сфере туристской деятельности,Директор департамента,Абисалов Сослан Русланович,декабрь 2022 г.,январь 2023 г.
,Департамент реализации проектов в сфере туристской деятельности,врио директора департамента,Веригин Дмитрий Александрович,январь 2023 г.,октябрь 2024 г.
,Департамент обеспечения качества предоставления государственных услуг населению и выполнения государственных функций,Директор департамента,"Албычев
 Кирилл Сергеевич",23 апреля 2025 г.,
,Департамент обеспечения качества предоставления государственных услуг населению и выполнения государственных функций,Директор департамента,Казмерчук Елена Вадимовна,5 августа 2021 г.,?
,Департамент евразийской интеграции,Директор департамента,"Добкин
 Алексей Геннадьевич",20 июля 2022 г.,
,Департамент торговых переговоров,Директор департамента,Майорова Екатерина Евгеньевна,март 2019 г.,
,Департамент развития и регулирования внешнеэкономической деятельности,Директор департамента,Некрасов Дмитрий Викторович,12 ноября 2024 г.,
,Департамент развития и регулирования внешнеэкономической деятельности,Директор департамента,Щур-Труханович Лилия,2017 г.,2024 г.
,Департамент развития малого и среднего предпринимательства и налогового стимулирования,Директор департамента,"Тараканов
 Андрей Александрович",29 ноября 2024 г.,
,Департамент регионального развития,Директор департамента,"Толмачев
 Андрей Сергеевич",4 августа 2025 г.,
,Финансовый департамент,Директор департамента,Симоненко Вера Юрьевна,17 марта 2021 г.,
,Департамент аналитического сопровождения внешнеэкономической деятельности,и.о. директора департамента,"Шишов
 Юрий Владимирович",декабрь 2023 г.,июнь 2024 г.
,Департамент аналитического сопровождения внешнеэкономической деятельности,Директор департамента,,5 июня 2024 г.,
,Департамент аналитического сопровождения внешнеэкономической деятельности,и.о. директора департамента,Мельникова Елена Геннадьевна,2021 г.,2023 г.
,Департамент аналитического сопровождения внешнеэкономической деятельности,Директор департамента,,2023 г.,2024 г.
,Департамент аналитического сопровождения внешнеэкономической деятельности,Директор департамента,Снисоренко Павел Валериевич,2019 г.,2020 г.
,Департамент государственных целевых программ и капитальных вложений,Директор департамента,Куренкова Олеся Николаевна,5 мая 2022 г.,
,Департамент секторов экономики,Директор департамента,"Каминский
 Михаил Александрович",февраль 2024 г.,декабрь 2024 г.
,Департамент секторов экономики,Директор департамента,"Дождиков
 Кирилл Владимирович",12 сентября 2025 г.,
,"Департамент бюджетного планирования, государственных программ и национальных проектов",Директор департамента,"Митюков
 Тимур Сайфуллович",5 августа 2024,
,Департамент корпоративного регулирования,Директор департамента,"Бештоев
 Михаил Ибрагимович",17 марта 2021,
,Департамент управления делами и кадровой политики,Директор департамента (и.о.),"Султанов
 Назим Самедович",1 мая 2025,
,Департамент финансово-банковской деятельности и инвестиционного развития,Директор департамента,"Морщихина
 Наталья Юрьевна",28 сентября 2024,
,Департамент реализации государственной программы социально-экономического развития Северо-Кавказского федерального округа,Директор департамента,"Бексултанов
 Камиль Бексултанович",19 апреля 2021 г.,
,"Департамент государственной политики в сфере лицензирования, контрольно-надзорной деятельности, аккредитации и саморегулирования",Директор департамента,Вдовин Александр Викторович,2022 г.,2025 г.
,"Департамент государственной политики в сфере лицензирования, контрольно-надзорной деятельности, аккредитации и саморегулирования",Директор департамента,"Никитин
 Константин Дмитриевич",21 октября 2025 г.,
,Департамент развития двустороннего сотрудничества,Директор департамента,"Калмычек
 Павел Александрович",28 июля 2022,
,Департамент регуляторной политики и оценки регулирующего воздействия,Директор департамента,"Стариков
 Андрей Викторович",март 2024 г.,
,Департамент планирования территориального развития,Директор департамента,"Дегтярев
 Дмитрий Сергеевич",16 февраля 2022 г.,
,"Департамент производительности труда, защиты и поощрения капиталовложений",Директор департамента,"Горчакова
 Светлана Владимировна",20 декабря 2024 г.,
,Департамент развития туризма,Директор департамента,"Хидзев
 Алимбек Туземович",март 2023 г.,
,Департамент многостороннего экономического сотрудничества и специальных проектов,Директор департамента,"Кондратьев
 Никита Владимирович",19 июля 2023,
,Департамент развития цифровой экономики,Директор департамента,"Волошин
 Владимир Александрович",декабрь 2022 г.,6 мая 2024 г.
,Департамент цифрового развития и экономики данных,Директор департамента,"Волошин
 Владимир Александрович",6 мая 2024 г.,
,Департамент организационного обеспечения и коммуникаций,Директор департамента,"Султанов
 Назим Самедович",17 марта 2021,
,Департамент экономического сотрудничества со странами СНГ,Директор департамента,"Михайлов
 Алексей Сергеевич",9 июня 2025,
