Список государственных ведомств,,,,,
Ведомство,Департамент,Должность,Имя,Начало работы,Конец работы
Миинистрество труда и социальной защиты,,Министр труда и социальной защиты,Топилин Максим Анатольевич,21 мая 2012,21 января 2020
,,Министр труда и социальной защиты,Котяков Антон Олегович,21 января 2020,
Министерство здравоохранения и социального развития,,Министр здравоохраения и социального развития,Зурабов Михаил Юрьевич,9 марта 2004,24 сентября 2007
,,Министр здравоохраения и социального развития,Голикова Татьяна Алексеевна,24 сентября 2007,21 мая 2012
Министерство труда и социального развития,,Министр труда и социального развития,Починок Александр Петрович,18 мая 2000,9 марта 2004
Министерство просвещения,,Министр просвещения,Васильева Ольга Юрьевна,18 мая 2018,21 января 2020
,,Министр просвещения,Кравцов Сергей Сергеевич,21 января 2020,
"Министерство по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",,"Министр по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",Шойгу Сергей Кужугетович,,11 мая 2012
,,"Министр по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий (и.о.)",Цаликов Руслан Хаджисмелович,11 мая 2012,17 мая 2012
,,"Министр по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",Пучков Владимир Андреевич,17 мая 2012,18 мая 2018
,,"Министр по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",Зиничев Евгений Николаевич,18 мая 2018,8 сентября 2021
,,"Министр по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий (и.о.)",Чуприян Александр Петрович,10 сентября 2021,24 мая 2022
,,"Министр по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий",Куренков Александр Вячеславович,25 мая 2022,
Министерство иностранных дел,,Министр иностранных дел,Иванов Игорь Сергеевич,,март 2004 г.
,,Министр иностранных дел,Лавров Сергей Викторович,9 марта 2004 г.,
Министерство сельского хозяйства,,Министр сельского хозяйства,Гордеев Алексей Васильевич,19 мая 2000,12 марта 2009
,,Министр сельского хозяйства,Скрынник Елена Борисовна,12 марта 2009,21 мая 2012
,,Министр сельского хозяйства,Фёдоров Николай Васильевич,21 мая 2012,22 апреля 2015
,,Министр сельского хозяйства,Ткачёв Александр Николаевич,22 апреля 2015,7 мая 2018
,,Министр сельского хозяйства,Патрушев Дмитрий Николаевич,18 мая 2018,7 мая 2024
,,Министр сельского хозяйства,Лут Оксана Николаевна,14 мая 2024,
Министерство культуры,,Министр культуры,Швыдкой Михаил Ефимович,8 февраля 2000,24 февраля 2004
,,Министр культуры,Авдеев Александр Алексеевич,12 мая 2008,7 мая 2012
,,Министр культуры,Мединский Владимир Ростиславович,21 мая 2012,15 января 2020
,,Министр культуры,Любимова Ольга Борисовна,21 января 2020,
Министерство здравоохранения,,Министр здравоохранения,Шевченко Юрий Леонидович,,9 марта 2004
,,Министр здравоохранения,Скворцова Вероника Игоревна,21 мая 2012,21 января 2020
,,Министр здравоохранения,Мурашко Михаил Альбертович,21 января 2020,
Министерство здравоохранения и социального развития,,Министр здравоохранения и социального развития,Зурабов Михаил Юрьевич,9 марта 2004,24 сентября 2007
Министерство строительства и жилищно-коммунального хозяйства,,Министр строительства и жилищно-коммунального хозяйства,Мень Михаил Александрович,1 ноября 2013,18 мая 2018
,,Министр строительства и жилищно-коммунального хозяйства,Якушев Владимир Владимирович,18 мая 2018,9 ноября 2020
,,Министр строительства и жилищно-коммунального хозяйства,Файзуллин Ирек Энварович,10 ноября 2020,
Министерство науки и высшего образования,,Министр науки и высшего образования,Котюков Михаил Михайлович,18 мая 2018,21 января 2020
,,Министр науки и высшего образования,Фальков Валерий Николаевич,21 января 2020,
Министерство образования и науки,,Министр образования и науки,Фурсенко Андрей Александрович,9 марта 2004,21 мая 2012
,,Министр образования и науки,Ливанов Дмитрий Викторович,21 мая 2012,19 августа 2016
,,Министр образования и науки,"Васильева, Ольга Юрьевна",19 августа 2016,15 мая 2018
Министерство образования,,Министр образования,Филиппов Владимир Михайлович,,9 марта 2004
Министерство энергетики,,Министр энергетики,Гаврин Александр Сергеевич,20 мая 2000,5 февраля 2001
,,Министр энергетики,Юсуфов Игорь Ханукович,16 июня 2001,9 марта 2004
,,Министр энергетики,Шматко Сергей Иванович,12 мая 2008,21 мая 2012
,,Министр энергетики,Новак Александр Валентинович,21 мая 2012,10 ноября 2020
,,Министр энергетики,Шульгинов Николай Григорьевич,10 ноября 2020,14 мая 2024
,,Министр энергетики,Цивилев Сергей Евгеньевич,14 мая 2024,
Министерство промышленности и энергетики,,Министр промышленности и энергетики,Христенко Виктор Борисович,9 марта 2004,12 мая 2008
Министерство по развитию Дальнего Востока и Арктики,,Министр по развитию Дальнего Востока и Арктики,Ишаев Виктор Иванович,21 мая 2012,31 августа 2013
,,Министр по развитию Дальнего Востока и Арктики,Галушка Александр Сергеевич,11 сентября 2013,18 мая 2018
,,Министр по развитию Дальнего Востока и Арктики,Козлов Александр Александрович,18 мая 2018,10 ноября 2020
,,Министр по развитию Дальнего Востока и Арктики,Чекунов Алексей Олегович,10 ноября 2020,
Министерство юстиции,,Министр юстиции,Чайка Юрий Яковлевич,,23 июня 2006
,,Министр юстиции,Устинов Владимир Васильевич,23 июня 2006,12 мая 2008
,,Министр юстиции,Коновалов Александр Владимирович,12 мая 2008,21 января 2020
,,Министр юстиции,Чуйченко Константин Анатольевич,21 января 2020,
"Министерство цифрового развития, связи и массовых коммуникаций",,"Министр цифрового развития, связи и массовых коммуникаций",Носков Константин Юрьевич,18 мая 2018,21 января 2020
,,"Министр цифрового развития, связи и массовых коммуникаций",Шадаев Максут Игоревич,21 января 2020,
Министерство РФ по связи и информатизации,,Министр по связи и информатизации,Рейман Леонид Дододжонович,,9 марта 2004
Министерство транспорта и связи,,Министр транспорта и связи,Левитин Игорь Евгеньевич,9 марта 2004,20 мая 2004
Министерство информационных технологий и связи,,Министр информационных технологий и связи РФ,Рейман Леонид Дододжонович,20 мая 2004,12 мая 2008
Министерство связи и массовых коммуникаций,,Министр связи и массовых коммуникаций,Щеголев Игорь Олегович,12 мая 2008,21 мая 2012
,,Министр связи и массовых коммуникаций,Никифоров Николай Анатольевич,21 мая 2012,15 мая 2018
,,,,,
Центральный Банк России,,Председатель,Геращенко Виктор Владимирович,,20 марта 2002 г.
,,Председатель,Игнатьев Сергей Михайлович,20 марта 2002 г.,23 июня 2013
,,Председатель,Набиуллина Эльвира Сахипзадовна,24 июня 2013,
,,Первый заместитель Председателя,Козлов Андрей Андреевич,апреля 2002 г.,2006 г.
,,Первый заместитель Председателя,Симановский Алексей Юрьевич,2 февраля 2012 г.,16 октября 2016 г.
,,Первый заместитель Председателя,"Тулин Дмитрий
 Владиславович",2015 г.,
,,Первый заместитель Председателя,"Чистюхин Владимир
 Викторович",17 января 2022 г.,
,,Заместитель Председателя,Симановский Алексей Юрьевич,2011 г.,2012 г.
,,Заместитель Председателя,"Чистюхин Владимир
 Викторович",февраль 2014 г.,17 января 2022 г.
,,Заместитель Председателя,"Габуния Филипп
 Георгиевич",17 января 2022 г.,
,,Статс-секретарь — заместитель Председателя Банка России,"Гузнов Алексей
 Геннадьевич",2022 г.,
,,Заместитель Председателя,"Заботкин Алексей
 Борисович",июнь 2020 г.,
,,Заместитель Председателя,"Полякова Ольга
 Васильевна",,
,,Начальник Главного управления Банка России по Центральному федеральному округу,"Марданов Рустэм
 Хабибович",1 мая 2023 г.,
,,Начальник Волго-Вятского главного управления Банка России,"Павлова Лариса
 Вальтеровна",январь 2015 г.,
,,Советник Председателя Банка России,"Симановский Алексей
 Юрьевич",17 октября 2016 г.,
,Департамент статистики,Директор департамента,Васильева Галина Геннадиевна,?,
,Департамент исследований и прогнозирования,Директор департамента,Морозов Александр Геннадьевич,2015 г.,
,Департамент наличного денежного обращения,Директор департамента,Прокофьев Василий Иванович,3 апреля 2023,
,Департамент национальной платежной системы,Директор департамента,Бакина Алла Станиславовна,2014 г.,
,Департамент бухгалтерского учета и отчетности,Директор департамента,Грановская Ирина Юрьевна,19 февраля 2019,
,Департамент регулирования бухгалтерского учета,Директор департамента,Волошина Мария Сергеевна,1 октября 2018,
,Департамент допуска и прекращения деятельности финансовых организаций,Директор департамента,Тяжельникова Людмила Александровна,февраль 2017 г.,
,Департамент финансового оздоровления,Директор департамента,Жданов Александр Юрьевич,июня 2017,
,Департамент корпоративных отношений,Директор департамента,Абашеева Екатерина Николаевна,января 2024,
,Служба анализа рисков,Руководитель службы,Дымов Александр Петрович,24 марта 2017,
,Департамент банковского регулирования и аналитики,Директор департамента,Данилов Александр Сергеевич,25 ноября 2021,
,Департамент надзора за системно значимыми кредитными организациями,Директор департамента,Любомудров Максим Германович,27 мая 2021,
,Служба текущего банковского надзора,Руководитель службы,Лунев Александр Валерьевич,март 2024 г.,
,Главная инспекция Банка России,Руководитель,Ветохин Алексей Валериевич,3 февраля 2022,
,Департамент операций на финансовых рынках,Директор департамента,Каштуров Александр Владимирович,2011 г.,
,Операционный департамент,Директор департамента,Попов Александр Владимирович,3 февраля 2020,
,Департамент финансовой стабильности,Директор департамента,Данилова Елизавета Олеговна,30 марта 2018,
,Служба финансового мониторинга и валютного контроля,Руководитель службы,Шабля Богдан Александрович,февраль 2024 г.,
,Департамент денежно-кредитной политики,Директор департамента,"Заботкин Алексей
 Борисович",2018 г.,2020 г.
,Департамент денежно-кредитной политики,Директор департамента,Ганган Андрей Васильевич,2 октября 2024,
,Департамент стратегического развития финансового рынка,Директор департамента,Лозгачева Екатерина Николаевна,16 ноября 2023,
,Департамент страхового рынка,Директор департамента,"Габуния Филипп
 Георгиевич",15 мая 2018,17 января 2022
,Департамент страхового рынка,Директор департамента,Смирнов Илья Владимирович,12 апреля 2023,
,Департамент инвестиционных финансовых посредников,Директор департамента,Шишлянникова Ольга Юрьевна,2021 г.,
,Департамент инфраструктуры финансового рынка,Директор департамента,Пронин Кирилл Валерьевич,июнь 2023 г.,
,Департамент небанковского кредитования (до 2023 г. Департамент микрофинансового рынка),Директор департамента,Кочетков Илья Александрович,октябрь 2023 год,
,"Департамент данных, проектов и процессов",Директор департамента,Балакин Михаил Дмитриевич,28 февраля 2024 г.,
,Служба по защите прав потребителей и обеспечению доступности финансовых услуг,Руководитель службы,Мамута Михаил Валерьевич,апрель 2016 г.,
,Юридический департамент,Директор департамента,"Гузнов
 Алексей
 Геннадьевич",2014 г.,2022 г.
,Юридический департамент,Директор департамента,Медведев Андрей Валериевич,январь 2023 г.,
,Департамент полевых учреждений,Директор департамента,Литвиненко Алексей Викторович,21 июля 2022,
,Департамент информационных технологий,Директор департамента,Кахруманова Зульфия Нукербековна,июль 2015 г.,29 апреля 2025
,Департамент информационных технологий,Директор департамента,Балуев Руслан,29 апреля 2025,
,Департамент финансовых технологий,Директор департамента,Пронин Кирилл Валерьевич,2021 г.,2023 г.
,Департамент финансовых технологий,Директор департамента,Булатов Руслан Ринатович,октябрь 2025 г.,
,Департамент кадровой политики,Директор департамента,Тихонова Татьяна Адольфовна,декабрь 2022 г.,
,Департамент внутреннего аудита,Директор департамента,Суриков Николай Николаевич,2014 г.,
,Департамент организации международных расчетов,Директор департамента,Ковригин Михаил Анатольевич,5 апреля 2023 г.,
,Департамент сотрудничества с международными организациями,Директор департамента,Хайдаршина Гульнара Артуровна,ноябрь 2023 г.,
,Департамент по связям с общественностью,Директор департамента,Рыклина Марина Владимировна,1 сентября 2015 г.,
,Департамент закупок Банка России,Директор департамента,Тимошенко Мария Валерьевна,23 октября 2020 г.,
,Департамент недвижимости Банка России,Директор департамента,?,,
,Департамент информационной безопасности,Директор департамента,Уваров Вадим Александрович,2018 г.,
,Университет Банка России,Директор Университета,Афонин Андрей Юрьевич,июнь 2018 г.,
,,,,,
Министерство по налогам и сборам РФ (МНС России),,Министр по налогам и сборам РФ,Починок Александр Петрович,,18 мая 2000
,,Министр по налогам и сборам РФ,Букаев Геннадий Иванович,18 мая 2000,24 февраля 2004
,,Министр по налогам и сборам РФ (и.о.),Сердюков Анатолий Эдуардович,16 марта 2004,26 июля 2004
Федеральная налоговая служба (ФНС России),,Руководитель ФНС России,Сердюков Анатолий Эдуардович,27 июля 2004,19 февраля 2007
,,Руководитель ФНС России,Мокрецов Михаил Павлович,21 февраля 2007,6 апреля 2010
,,Руководитель ФНС России,Мишустин Михаил Владимирович,6 апреля 2010,16 января 2020
,,Руководитель ФНС России,Егоров Даниил Вячеславович,17 января 2020,
Федеральная таможенная служба (ФТС России),,Руководитель ФТС России,Жерихов Александр Егорович,6 июля 2004,12 мая 2006
,,Руководитель ФТС России,Бельянинов Андрей Юрьевич,12 мая 2006,28 июля 2016
,,Руководитель ФТС России,Булавин Владимир Иванович,28 июля 2016,10 февраля 2023
,,Руководитель ФТС России (врио),Давыдов Руслан Валентинович,10 февраля 2023,14 мая 2024
,,Руководитель ФТС России,Пикалёв Валерий Иванович,14 мая 2024,
Федеральное казначейство (Казначейство России),,Руководитель Федерального казначейства,Нестеренко Татьяна Геннадьевна,январь 2005 г.,28 сентября 2007
,,Руководитель Федерального казначейства,Артюхин Роман Евгеньевич,октябрь 2007 г.,
Федеральное агентство по управлению государственным имуществом (Росимущество),,Руководитель Росимущества,Газизуллин Фарит Рафикович,,24 февраля 2004
,,Руководитель Росимущества,Назаров Валерий Львович,март 2004 г.,25 мая 2008
,,Руководитель Росимущества,Петров Юрий Александрович,26 мая 2008,декабрь 2011 г.
,,Руководитель Росимущества (и.о.),Никитин Глеб Сергеевич,декабрь 2011 г.,28 июня 2012
,,Руководитель Росимущества,Дергунова Ольга Константиновна,29 июня 2012,12 апреля 2016
,,Руководитель Росимущества,Пристансков Дмитрий Владимирович,20 апреля 2016,21 декабря 2018
,,Руководитель Росимущества,Яковенко Вадим Владимирович,21 декабря 2018,
"Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций (Роскомнадзор)",,Руководитель Роскомнадзора,Ситников Сергей Константинович,8 декабря 2008 г.,13 апреля 2012 г.
,,Руководитель Роскомнадзора,Жаров Александр Александрович,3 мая 2012 г.,23 марта 2020 г.
,,Руководитель Роскомнадзора,Липов Андрей Юрьевич,29 марта 2020 г.,
,,,,,
Федеральная служба государственной статистики (Росстат),,Руководитель Росстата,Соколин Владимир Леонидович,март 2004 г.,декабрь 2009 г.
,,Руководитель Росстата,Суринов Александр Евгеньевич,3 декабря 2009 г.,24 декабря 2018 г.
,,Руководитель Росстата,Малков Павел Викторович,24 декабря 2018 г.,10 мая 2022 г.
,,Руководитель Росстата,Галкин Сергей Сергеевич,11 мая 2022 г.,
Федеральная служба по финансовому мониторингу (Росфинмониторинг),,Руководитель Росфинмониторинга,Зубков Виктор Алексеевич,2001 г.,2007 г.
,,Руководитель Росфинмониторинга,Марков Олег Александрович,14 сентября 2007,26 сентября 2007
,,Руководитель Росфинмониторинга,Чиханчин Юрий Анатольевич,22 мая 2008,
Федеральная антимонопольная служба (ФАС России),,Руководитель службы,Артемьев Игорь Юрьевич,10 марта 2004,11 ноября 2020
,,Руководитель службы,Шаскольский Максим Алексеевич,11 ноября 2020,
,,,,,
Персональный состав Правительства,,Председатель Правительства,Путин Владимир Владимирович,26 августа 1999,7 мая 2000
,,Председатель Правительства,Касьянов Михаил Михайлович,7 мая 2000,24 февраля 2004
,,Председатель Правительства,Христенко Виктор Борисович,24 февраля 2004,5 марта 2004
,,Председатель Правительства,Фрадков Михаил Ефимович,12 мая 2004,14 сентября 2007
,,Председатель Правительства,Зубков Виктор Алексеевич,14 сентября 2007,8 мая 2008
,,Председатель Правительства,Медведев Дмитрий Анатольевич,8 мая 2012,16 января 2020
,,Председатель Правительства,Мишустин Михаил Владимирович,16 января 2020,
,,Первый заместитель Председателя Правительства,Аксененко Николай Емельянович,,10 января 2000 г.
,,Первый заместитель Председателя Правительства,Христенко Виктор Борисович,,10 января 2000 г.
,,Первый заместитель Председателя Правительства,Касьянов Михаил Михайлович,17 мая 2000 г.,24 февраля 2004 г.
,,Первый заместитель Председателя Правительства,Медведев Дмитрий Анатольевич,14 ноября 2005,7 мая 2008
,,Первый заместитель Председателя Правительства,Иванов Сергей Борисович,14 ноября 2005,16 февраля 2007
,,Первый заместитель Председателя Правительства,Зубков Виктор Алексеевич,12 мая 2008,21 мая 2012 г.
,,Первый заместитель Председателя Правительства,Шувалов Игорь Иванович,12 мая 2008,18 мая 2018
,,Первый заместитель Председателя Правительства,Силуанов Антон Германович,18 мая 2018,21 января 2020
,,Первый заместитель Председателя Правительства,Белоусов Андрей Рэмович,21 января 2020,7 мая 2024
,,Первый заместитель Председателя Правительства,Мантуров Денис Валентинович,14 мая 2024,
,,Заместитель Председателя Правительства,Клебанов Илья Иосифович,,18 февраля 2002 г.
,,Заместитель Председателя Правительства,Матвиенко Валентина Ивановна,,11 марта 2003 г.
,,Заместитель Председателя Правительства,Щербак Владимир Николаевич,,7 мая 2000 г.
,,Заместитель Председателя Правительства,Христенко Виктор Борисович,,9 марта 2004 г.
,,Заместитель Председателя Правительства,Шойгу Сергей Кужугетович,10 января 2000 г.,7 мая 2000 г.
,,Заместитель Председателя Правительства,Кудрин Алексей Леонидович,18 мая 2000 г.,2011 г.
,,Заместитель Председателя Правительства,Гордеев Алексей Васильевич,19 мая 2000 г.,9 марта 2004 г.
,,Заместитель Председателя Правительства,Алешин Борис Сергеевич,24 апреля 2003 г.,9 марта 2004 г.
,,Заместитель Председателя Правительства,Карелова Галина Николаевна,24 апреля 2003 г.,9 марта 2004 г.
,,Заместитель Председателя Правительства,Яковлев Владимир Анатольевич,16 июня 2003,9 марта 2004
,,Заместитель Председателя Правительства,Жуков Александр Дмитриевич,9 марта 2004,20 декабря 2011
,,Заместитель Председателя Правительства,Иванов Сергей Борисович,14 ноября 2005,16 февраля 2007
,,Заместитель Председателя Правительства,Нарышкин Сергей Евгеньевич,15 февраля 2007,12 мая 2008
,,Заместитель Председателя Правительства,Сечин Игорь Иванович,12 мая 2008 г.,21 мая 2012 г.
,,Заместитель Председателя Правительства,Козак Дмитрий Николаевич,14 октября 2008,15 января 2020
,,Заместитель Председателя Правительства,Хлопонин Александр Геннадиевич,19 января 2010,18 мая 2018
,,Заместитель Председателя Правительства,Рогозин Дмитрий Олегович,23 декабря 2011,18 мая 2018
,,Заместитель Председателя Правительства,Сурков Владислав Юрьевич,27 декабря 2011,21 мая 2012
,,Заместитель Председателя Правительства,Дворкович Аркадий Владимирович,21 мая 2012,18 мая 2018
,,Заместитель Председателя Правительства,Голодец Ольга Юрьевна,21 мая 2012,15 января 2020
,,Заместитель Председателя Правительства,Приходько Сергей Эдуардович,22 мая 2013,18 мая 2018
,,Заместитель Председателя Правительства,Мутко Виталий Леонтьевич,19 октября 2016,15 января 2020
,,Заместитель Председателя Правительства,Акимов Максим Алексеевич,18 мая 2018,15 января 2020
,,Заместитель Председателя Правительства,Гордеев Алексей Васильевич,18 мая 2018,15 января 2020
,,Заместитель Председателя Правительства,Чуйченко Константин Анатольевич,18 мая 2018,15 января 2020
,,Заместитель Председателя Правительства,Борисов Юрий Иванович,18 мая 2018,15 января 2020
,,Заместитель Председателя Правительства,Абрамченко Виктория Валериевна,21 января 2020,7 мая 2024
,,Заместитель Председателя Правительства – полномочный представитель Президента в Дальневосточном федеральном округе,Трутнев Юрий Петрович,31 августа 2013,
,,Заместитель Председателя Правительства,Голикова Татьяна Алексеевна,18 мая 2018,
,,Заместитель Председателя Правительства,Чернышенко Дмитрий Николаевич,21 января 2020,
,,Заместитель Председателя Правительства,Хуснуллин Марат Шакирзянович,21 января 2020,
,,Заместитель Председателя Правительства,Оверчук Алексей Логвинович,21 января 2020,
,,Заместитель Председателя Правительства,Григоренко Дмитрий Юрьевич,21 января 2020,
,,Заместитель Председателя Правительства,Новак Александр Валентинович,10 ноября 2020,
,,Заместитель Председателя Правительства,Патрушев Дмитрий Николаевич,14 мая 2024,
,,Заместитель Председателя Правительства,Савельев Виталий Геннадьевич,14 мая 2024,
Аппарат Правительства,,Руководитель Аппарата правительства,Шувалов Игорь Иванович,18 мая 2000,28 мая 2003
,,Руководитель Аппарата правительства,Мерзликин Константин Эдуардович,28 мая 2003,25 февраля 2004
,,Руководитель Аппарата правительства,Синелин Михаил Анатольевич,25 февраля 2004,9 марта 2004
,,Руководитель Аппарата правительства,Козак Дмитрий Николаевич,9 марта 2004,13 сентября 2004
,,Руководитель Аппарата правительства,Нарышкин Сергей Евгеньевич,13 сентября 2004,12 мая 2008
,,Руководитель Аппарата правительства,Володин Вячеслав Викторович,21 октября 2010,27 декабря 2011
,,Руководитель Аппарата Правительства,Собянин Сергей Семенович,12 мая 2008,21 октября 2010
,,Руководитель Аппарата Правительства,Вайно Антон Эдуардович,27 декабря 2011,21 мая 2012
,,Руководитель Аппарата Правительства,Сурков Владислав Юрьевич,21 мая 2012,8 мая 2013
,,Руководитель Аппарата Правительства,Приходько Сергей Эдуардович,22 мая 2013,18 мая 2018
,,Руководитель Аппарата Правительства,Чуйченко Константин Анатольевич,18 мая 2018,21 января 2020
,,Руководитель Аппарата Правительства,Григоренко Дмитрий Юрьевич,21 января 2020,
,,Первый заместитель Руководителя Аппарата Правительства,Синелин Михаил Анатольевич,июль 2003 г.,?
,,Первый заместитель Руководителя Аппарата Правительства,Акимов Максим Алексеевич,24 мая 2013,18 мая 2018
,,Первый заместитель Руководителя Аппарата Правительства,Приходько Сергей Эдуардович,18 мая 2018,21 января 2020
,,Первый заместитель Руководителя Аппарата Правительства,Левин Леонид Леонидович,17 мая 2024,
,,Первый заместитель Руководителя Аппарата Правительства,Сидоренко Валерий Валерьевич,22 января 2020,
,,Заместитель Руководителя Аппарата Правительства,Волин Алексей Константинович,июнь 2000 г.,2003 г.
,,Заместитель Руководителя Аппарата Правительства,Кигим Андрей Степанович,22 сентября 2003,19 марта 2004
,,Заместитель Руководителя Аппарата Правительства,,,
,,Заместитель Руководителя Аппарата Правительства,Андрющенко Светлана Николаевна,январь 2020 г.,
,,Заместитель Руководителя Аппарата Правительства,Вельмяйкин Сергей Федорович,17 мая 2024,
,,Заместитель Руководителя Аппарата Правительства,Грибов Александр Сергеевич,23 января 2020,
,,Заместитель Руководителя Аппарата Правительства,Кривонос Ольга Владимировна,2019 г.,
,,Заместитель Руководителя Аппарата Правительства,Молчанов Денис Владимирович,17 мая 2024,
,,Руководитель протокола Председателя Правительства Российской Федерации – заместитель Руководителя Аппарата Правительства Российской Федерации,Савина Наталья Александровна,22 января 2020,
,,Руководитель аппарата коллегии Военно-промышленной комиссии Российской Федерации - заместитель Руководителя Аппарата Правительства Российской Федерации,Стежка Богдан Васильевич,?,
,,Заместитель Руководителя Аппарата Правительства,Тагиров Эльмир Тагирович,22 января 2020,
,,Заместитель Руководителя Аппарата Правительства,Трунин Илья Вячеславович,22 января 2020,
,,Заместитель Руководителя Аппарата Правительства,Уваров Алексей Константинович,22 января 2020,
,,Заместитель Руководителя Аппарата Правительства,Чепурина Ольга Николаевна,22 января 2020,
,,Заместитель Руководителя Аппарата Правительства,Шевченко Игорь Викторович,22 января 2020,
,,Пресс-секретарь Председателя Правительства Российской Федерации – директор департамента пресс-службы и референтуры Правительства Российской Федерации,Беляков Борис Вадимович,22 января 2020,
,Секретариат Председателя Правительства Российской Федерации М.В.Мишустина,Руководитель,Кротов Андрей Владиславович,25 октября 2010,
,Секретариат Первого заместителя Председателя Правительства Российской Федерации Д.В.Мантурова,Руководитель,Голованов Ян Станиславович,?,
,Секретариат Заместителя Председателя Правительства - Руководителя Аппарата Правительства Российской Федерации Д.Ю.Григоренко,Руководитель,"Решетников Николай
 Николаевич",24 мая 2012,
,Секретариат Заместителя Председателя Правительства Российской Федерации Т.А.Голиковой,Руководитель,Рожкова Елена Анатольевна,?,
,Секретариат Заместителя Председателя Правительства Российской Федерации А.В.Новака,Руководитель,Капник Дмитрий Леонидович,?,
,Секретариат Заместителя Председателя Правительства Российской Федерации А.Л.Оверчука,Руководитель,"Ливадный Павел
 Валерьевич",?,
,Секретариат Заместителя Председателя Правительства Российской Федерации Д.Н.Патрушева,Руководитель,Кругликов Николай Витальевич,?,
,Секретариат Заместителя Председателя Правительства Российской Федерации В.Г.Савельева,Руководитель,Самолетов Анатолий Викторович,?,
,Секретариат Заместителя Председателя Правительства Российской Федерации - полномочного представителя Президента Российской Федерации в Дальневосточном федеральном округе Ю.П.Трутнева,Руководитель,Задворнов Игорь Анатольевич,?,
,Секретариат Заместителя Председателя Правительства Российской Федерации М.Ш.Хуснуллина,Руководитель,Дияров Ильнур Ильсурович,?,
,Секретариат Заместителя Председателя Правительства Российской Федерации Д.Н.Чернышенко,Руководитель,Шеменев Виталий Владимирович,?,
,Аппарат коллегии Военно-промышленной комиссии Российской Федерации,Руководитель,Стежка Богдан Васильевич,?,
,Департамент документационного обеспечения Правительства Российской Федерации,Директор департамента,Мирошникова Инна Анатольевна,?,
,Департамент здравоохранения Правительства Российской Федерации,Директор департамента,?,?,
,Департамент информационных технологий Правительства Российской Федерации,Директор департамента,Комар Евгений Викторович,?,
,Департамент кадров Правительства Российской Федерации,Директор департамента,Вишняков Александр Игоревич,?,
,Департамент контроля Правительства Российской Федерации,Директор департамента,Майданская Юлия Леонидовна,?,
,"Департамент культуры, спорта, туризма и национальной политики Правительства Российской Федерации",Директор департамента,Щербак Карина Викторовна,?,
,Департамент по обеспечению деятельности административных органов Правительства Российской Федерации,Директор департамента,Беседа Александр Сергеевич,?,
,Департамент обеспечения регуляторной политики Правительства Российской Федерации,Директор департамента,Спиридонов Андрей Алексеевич,?,
,Департамент оборонно-промышленного комплекса Правительства Российской Федерации,Директор департамента,Архипов Николай Федорович,?,
,Департамент обеспечения деятельности Правительства Российской Федерации,Директор департамента,Адамчук Сергей Андреевич,?,
,Департамент правового обеспечения Правительства Российской Федерации,Директор департамента,Боженова Евгения Викторовна,?,
,Департамент пресс-службы и референтуры Правительства Российской Федерации,Директор департамента,Беляков Борис Вадимович,?,
,"Департамент природных ресурсов, земельных отношений и агропромышленного комплекса Правительства Российской Федерации",Директор департамента,Ковалева Елена Леонидовна,?,
,Департамент проектной деятельности Правительства Российской Федерации,Директор департамента,Левитская Юлия Германовна,?,
,Департамент промышленности Правительства Российской Федерации,Директор департамента,Набиев Ильмир Рифович,?,
,"Департамент просвещения, высшего образования и науки Правительства Российской Федерации",Директор департамента,Синюгина Татьяна Юрьевна,?,
,Департамент протокольного обеспечения Правительства Российской Федерации,Директор департамента,Валяев Александр Викторович,?,
,Департамент развития международного сотрудничества Правительства Российской Федерации,Директор департамента,Кузнецов Виктор Игоревич,?,
,Департамент регионального развития Правительства Российской Федерации,Директор департамента,Васильев Вадим Викторович,?,
,Департамент сопровождения законопроектной деятельности и нормативно-правового регулирования Правительства Российской Федерации,Директор департамента,Степанов Павел Владимирович,?,
,Департамент социального развития Правительства Российской Федерации,Директор департамента,?,?,
,Департамент строительства Правительства Российской Федерации,Директор департамента,Иванова Светлана Владимировна,?,
,Департамент транспорта Правительства Российской Федерации,Директор департамента,Мещеряков Анатолий Анатольевич,?,
,Департамент формирования государственного оборонного заказа Правительства Российской Федерации,Директор департамента,Наконечный Борис Михайлович,?,
,Департамент экономического развития и финансов Правительства Российской Федерации,Директор департамента,Толоко Василий Борисович,?,
,Департамент энергетики Правительства Российской Федерации,Директор департамента,Ливинский Павел Анатольевич,?,
,Департамент экономики,Директор департамента,Белецкий Юрий Владимирович,сентябрь 2003 г.,?
,Сводно-аналитический департамент Правительства Российской Федерации,Директор департамента,Буряк Александр Сергеевич,?,
,Управление развития приоритетных территорий Правительства Российской Федерации,Начальник,Половинка Владислав Васильевич,?,
,Управление экспертизы и планирования Правительства Российской Федерации,Начальник,Комаров Владимир Михайлович,?,
